x, true, terminal, branch, branch, dgm, bsde
-5.000000000000000000e+00,-9.968273171575148250e-01,-9.933071490757151567e-01,-9.972993731498718262e-01,-9.969156980514526367e-01,-9.960111379623413086e-01,-9.961341023445129395e-01
-4.898989898989898784e+00,-9.964912828272178835e-01,-9.926010439502803706e-01,-9.968951344490051270e-01,-9.965869784355163574e-01,-9.956760406494140625e-01,-9.957237243652343750e-01
-4.797979797979797567e+00,-9.961197960003560503e-01,-9.918210571437178213e-01,-9.964390993118286133e-01,-9.962196350097656250e-01,-9.953055381774902344e-01,-9.952977299690246582e-01
-4.696969696969697239e+00,-9.957091472169959934e-01,-9.909595941910669392e-01,-9.959260821342468262e-01,-9.958080053329467773e-01,-9.948958158493041992e-01,-9.948533773422241211e-01
-4.595959595959596022e+00,-9.952552457625998272e-01,-9.900083100637919742e-01,-9.953514933586120605e-01,-9.953452944755554199e-01,-9.944428205490112305e-01,-9.943876266479492188e-01
-4.494949494949494806e+00,-9.947535820144595142e-01,-9.889580416625052273e-01,-9.947101473808288574e-01,-9.948245286941528320e-01,-9.939420819282531738e-01,-9.938966631889343262e-01
-4.393939393939393590e+00,-9.941991864127008860e-01,-9.877987357393639423e-01,-9.939965009689331055e-01,-9.942385554313659668e-01,-9.933889508247375488e-01,-9.933729171752929688e-01
-4.292929292929293261e+00,-9.935865848319396232e-01,-9.865193722991542069e-01,-9.932047128677368164e-01,-9.935795068740844727e-01,-9.927775263786315918e-01,-9.928066134452819824e-01
-4.191919191919192045e+00,-9.929097501341899168e-01,-9.851078836367397340e-01,-9.923291206359863281e-01,-9.928389787673950195e-01,-9.921021461486816406e-01,-9.921860694885253906e-01
-4.090909090909090828e+00,-9.921620496943004408e-01,-9.835510693065820931e-01,-9.913637042045593262e-01,-9.920085072517395020e-01,-9.913562536239624023e-01,-9.914966821670532227e-01
-3.989898989898989612e+00,-9.913361887077705159e-01,-9.818345074928442884e-01,-9.903025627136230469e-01,-9.910796880722045898e-01,-9.905326962471008301e-01,-9.907222986221313477e-01
-3.888888888888888840e+00,-9.904241491193128688e-01,-9.799424634621496377e-01,-9.891398549079895020e-01,-9.900441169738769531e-01,-9.896235466003417969e-01,-9.898455739021301270e-01
-3.787878787878788067e+00,-9.894171240514577637e-01,-9.778577960418679549e-01,-9.878691434860229492e-01,-9.888932108879089355e-01,-9.886204004287719727e-01,-9.888482093811035156e-01
-3.686868686868686851e+00,-9.883054476687440637e-01,-9.755618633816672824e-01,-9.864841699600219727e-01,-9.876196980476379395e-01,-9.875134229660034180e-01,-9.877125620841979980e-01
-3.585858585858585634e+00,-9.870785204880169195e-01,-9.730344296319097808e-01,-9.849780797958374023e-01,-9.862155914306640625e-01,-9.862924814224243164e-01,-9.864221811294555664e-01
-3.484848484848484862e+00,-9.857247302430320879e-01,-9.702535746159257624e-01,-9.833436012268066406e-01,-9.846742749214172363e-01,-9.849460721015930176e-01,-9.849618077278137207e-01
-3.383838383838384090e+00,-9.842313685364921794e-01,-9.671956090900571956e-01,-9.815721511840820312e-01,-9.829896092414855957e-01,-9.834617376327514648e-01,-9.833180308341979980e-01
-3.282828282828282873e+00,-9.825845436699610636e-01,-9.638349987798122687e-01,-9.796539545059204102e-01,-9.811556935310363770e-01,-9.818258285522460938e-01,-9.814751744270324707e-01
-3.181818181818181657e+00,-9.807690902375834074e-01,-9.601443010541103051e-01,-9.775772094726562500e-01,-9.791663885116577148e-01,-9.800232052803039551e-01,-9.794200658798217773e-01
-3.080808080808080884e+00,-9.787684763094330886e-01,-9.560941188500610144e-01,-9.753283262252807617e-01,-9.770164489746093750e-01,-9.780377149581909180e-01,-9.771345853805541992e-01
-2.979797979797979668e+00,-9.765647093213618568e-01,-9.516530772801021776e-01,-9.728907346725463867e-01,-9.746990203857421875e-01,-9.758515357971191406e-01,-9.746013879776000977e-01
-2.878787878787878896e+00,-9.741382421373057099e-01,-9.467878292260889506e-01,-9.702454805374145508e-01,-9.722062945365905762e-01,-9.734449386596679688e-01,-9.718075990676879883e-01
-2.777777777777777679e+00,-9.714678811639536615e-01,-9.414630971256321423e-01,-9.673700332641601562e-01,-9.695286750793457031e-01,-9.707965850830078125e-01,-9.687479734420776367e-01
