x, true, terminal, branch, branch, bsde
-1.212435565298214186e+02,-9.995694429186754437e-01,-9.990889488055993972e-01,-9.984884262084960938e-01,-9.987512826919555664e-01,-9.975157976150512695e-01
-1.187941917514411898e+02,-9.995040730441691057e-01,-9.989507038842890818e-01,-9.985311627388000488e-01,-9.986769556999206543e-01,-9.981592893600463867e-01
-1.163448269730609610e+02,-9.994287839773077220e-01,-9.987915067475445774e-01,-9.985774159431457520e-01,-9.986125230789184570e-01,-9.983499646186828613e-01
-1.138954621946807322e+02,-9.993420724373450748e-01,-9.986081901870571542e-01,-9.986268877983093262e-01,-9.985597729682922363e-01,-9.978470802307128906e-01
-1.114460974163004892e+02,-9.992422079222353926e-01,-9.983971109302689495e-01,-9.986789822578430176e-01,-9.985205531120300293e-01,-9.972804784774780273e-01
-1.089967326379202603e+02,-9.991271985616551055e-01,-9.981540789644225420e-01,-9.987328648567199707e-01,-9.984961748123168945e-01,-9.971350431442260742e-01
-1.065473678595400315e+02,-9.989947519029626077e-01,-9.978742766561372601e-01,-9.987877607345581055e-01,-9.984881281852722168e-01,-9.974122047424316406e-01
-1.040980030811598027e+02,-9.988422298993541171e-01,-9.975521662877855356e-01,-9.988427162170410156e-01,-9.984976053237915039e-01,-9.975546002388000488e-01
-1.016486383027795739e+02,-9.986665972710713213e-01,-9.971813844773056434e-01,-9.988963007926940918e-01,-9.985246658325195312e-01,-9.971555471420288086e-01
-9.919927352439934509e+01,-9.984643623012235958e-01,-9.967546217872327308e-01,-9.989467859268188477e-01,-9.985696673393249512e-01,-9.965760111808776855e-01
-9.674990874601911628e+01,-9.982315090072286790e-01,-9.962634856660349536e-01,-9.989924430847167969e-01,-9.986319541931152344e-01,-9.963313937187194824e-01
-9.430054396763887326e+01,-9.979634194970334882e-01,-9.956983447069071014e-01,-9.990307092666625977e-01,-9.987102746963500977e-01,-9.964027404785156250e-01
-9.185117918925865865e+01,-9.976547851766541797e-01,-9.950481520656082601e-01,-9.990590214729309082e-01,-9.988024830818176270e-01,-9.963825345039367676e-01
-8.940181441087841563e+01,-9.972995053234231522e-01,-9.943002457633030033e-01,-9.990741014480590820e-01,-9.989053010940551758e-01,-9.960073232650756836e-01
-8.695244963249818682e+01,-9.968905713799904866e-01,-9.934401235314711531e-01,-9.990721940994262695e-01,-9.990143775939941406e-01,-9.953438043594360352e-01
-8.450308485411795800e+01,-9.964199351614075884e-01,-9.924511898593137982e-01,-9.990491867065429688e-01,-9.991236925125122070e-01,-9.945794343948364258e-01
-8.205372007573772919e+01,-9.958783590073767567e-01,-9.913144730138245819e-01,-9.989999532699584961e-01,-9.992257356643676758e-01,-9.938166737556457520e-01
-7.960435529735750038e+01,-9.952552457625998272e-01,-9.900083100637919742e-01,-9.989191889762878418e-01,-9.993106126785278320e-01,-9.930480122566223145e-01
-7.715499051897727156e+01,-9.945384463423203592e-01,-9.885079984097712158e-01,-9.988003969192504883e-01,-9.993666410446166992e-01,-9.922271966934204102e-01
-7.470562574059704275e+01,-9.937140425547277278e-01,-9.867854130770994381e-01,-9.986365437507629395e-01,-9.993792772293090820e-01,-9.913170933723449707e-01
-7.225626096221679973e+01,-9.927661028301379975e-01,-9.848085901619929583e-01,-9.984191060066223145e-01,-9.993308782577514648e-01,-9.903006553649902344e-01
-6.980689618383658512e+01,-9.916764085801113016e-01,-9.825412784471478922e-01,-9.981387853622436523e-01,-9.992011785507202148e-01,-9.891428947448730469e-01
-6.735753140545634210e+01,-9.904241491193128688e-01,-9.799424634621496377e-01,-9.977849721908569336e-01,-9.989657402038574219e-01,-9.877899289131164551e-01
-6.490816662707611329e+01,-9.889855834829677228e-01,-9.769658713181146314e-01,-9.973443150520324707e-01,-9.985978007316589355e-01,-9.862310290336608887e-01
-6.245880184869588447e+01,-9.873336681325308728e-01,-9.735594636786228939e-01,-9.968005418777465820e-01,-9.980670809745788574e-01,-9.845098257064819336e-01
-6.000943707031565566e+01,-9.854376505492687954e-01,-9.696649404355518476e-01,-9.961339235305786133e-01,-9.973403811454772949e-01,-9.826537370681762695e-01
-5.756007229193542685e+01,-9.832626301784518352e-01,-9.652172732300303704e-01,-9.953190088272094727e-01,-9.963821172714233398e-01,-9.806043505668640137e-01
-5.511070751355519803e+01,-9.807690902375834074e-01,-9.601443010541104162e-01,-9.943224787712097168e-01,-9.951542019844055176e-01,-9.782104492187500000e-01
-5.266134273517495501e+01,-9.779124066962692208e-01,-9.543664288698656684e-01,-9.931008219718933105e-01,-9.936138987541198730e-01,-9.752976298332214355e-01
-5.021197795679472620e+01,-9.746423444505776246e-01,-9.477964814295410934e-01,-9.915971755981445312e-01,-9.917130470275878906e-01,-9.717424511909484863e-01
-4.776261317841449738e+01,-9.709025555440995436e-01,-9.403397769808251594e-01,-9.897371530532836914e-01,-9.893918037414550781e-01,-9.675259590148925781e-01
-4.531324840003426857e+01,-9.666301004261713681e-01,-9.318944986535737662e-01,-9.874254465103149414e-01,-9.865730404853820801e-01,-9.627302289009094238e-01
-4.286388362165403976e+01,-9.617550208572679393e-01,-9.223524539165752767e-01,-9.845415353775024414e-01,-9.831542968750000000e-01,-9.574730992317199707e-01
-4.041451884327381094e+01,-9.562000022835388524e-01,-9.116003227929415642e-01,-9.809353947639465332e-01,-9.790036082267761230e-01,-9.518257379531860352e-01
-3.796515406489358213e+01,-9.498801742982829754e-01,-8.995215009861547983e-01,-9.764258265495300293e-01,-9.739602208137512207e-01,-9.457257986068725586e-01
-3.551578928651335332e+01,-9.427031099772980038e-01,-8.859986413168794428e-01,-9.708001017570495605e-01,-9.678459167480468750e-01,-9.388962984085083008e-01
-3.306642450813312450e+01,-9.345690978957785777e-01,-8.709169817721656992e-01,-9.638188481330871582e-01,-9.604824185371398926e-01,-9.309120178222656250e-01
-3.061705972975288148e+01,-9.253717735395832200e-01,-8.541685164650849593e-01,-9.552326202392578125e-01,-9.517078399658203125e-01,-9.215388298034667969e-01
-2.816769495137265267e+01,-9.149992080509599113e-01,-8.356570125831239704e-01,-9.448139071464538574e-01,-9.413871765136718750e-01,-9.109700322151184082e-01
-2.571833017299242385e+01,-9.033355594992689142e-01,-8.153037990090655773e-01,-9.324100613594055176e-01,-9.294184446334838867e-01,-8.995012044906616211e-01
-2.326896539461219504e+01,-8.902633920151420410e-01,-7.930541506528423490e-01,-9.180005192756652832e-01,-9.157361984252929688e-01,-8.870331048965454102e-01
-2.081960061623196623e+01,-8.756667572479253092e-01,-7.688839712351154265e-01,-9.017212986946105957e-01,-9.002965092658996582e-01,-8.731287717819213867e-01
-1.837023583785173741e+01,-8.594351062191104562e-01,-7.428063472356178920e-01,-8.837918043136596680e-01,-8.830146789550781250e-01,-8.574935793876647949e-01
-1.592087105947150860e+01,-8.414680532665188561e-01,-7.148774250585994139e-01,-8.643221855163574219e-01,-8.636959791183471680e-01,-8.402637243270874023e-01
-1.347150628109126558e+01,-8.216809438923076137e-01,-6.852009766653155420e-01,-8.430997133255004883e-01,-8.421077728271484375e-01,-8.217357397079467773e-01
-1.102214150271103676e+01,-8.000110838086447185e-01,-6.539309937088768621e-01,-8.194451332092285156e-01,-8.180419802665710449e-01,-8.017514944076538086e-01
-8.572776724330807951e+00,-7.764243703059212631e-01,-6.212717117703228098e-01,-7.918399572372436523e-01,-7.910895347595214844e-01,-7.797943353652954102e-01
-6.123411945950579138e+00,-7.509219381102776314e-01,-5.874746295981817523e-01,-7.573794722557067871e-01,-7.612231969833374023e-01,-7.557002305984497070e-01
-3.674047167570350325e+00,-7.235463060599580665e-01,-5.528323503326417754e-01,-7.172189950942993164e-01,-7.290949821472167969e-01,-7.298118472099304199e-01
-1.224682389190121512e+00,-6.943864109770061521e-01,-5.176694067884357597e-01,-6.861773729324340820e-01,-6.939025521278381348e-01,-7.024766206741333008e-01
1.224682389190107301e+00,-6.635808682824484439e-01,-4.823305932115644623e-01,-6.625868082046508789e-01,-6.572517156600952148e-01,-6.735894083976745605e-01
3.674047167570336114e+00,-6.313188319118139269e-01,-4.471676496673584467e-01,-6.230561733245849609e-01,-6.214486360549926758e-01,-6.427898406982421875e-01
6.123411945950564927e+00,-5.978379578630852453e-01,-4.125253704018184142e-01,-5.927872657775878906e-01,-5.849572420120239258e-01,-6.100317239761352539e-01
