x, true, terminal, branch, branch, dgm, bsde
-8.000000000000000000e+00,1.339658181823867311e+00,1.311104734796105120e+00,1.337068915367126465e+00,1.337169647216796875e+00,1.350536584854125977e+00,1.336755514144897461e+00
-7.838383838383838231e+00,1.337302385066652555e+00,1.307394424404396016e+00,1.334627389907836914e+00,1.334797620773315430e+00,1.348466396331787109e+00,1.334391236305236816e+00
-7.676767676767676463e+00,1.334832320619100177e+00,1.303512967616673013e+00,1.332092523574829102e+00,1.332331299781799316e+00,1.346289277076721191e+00,1.331910014152526855e+00
-7.515151515151515582e+00,1.332242932518638234e+00,1.299453663014381810e+00,1.329456329345703125e+00,1.329763650894165039e+00,1.344000577926635742e+00,1.329304218292236328e+00
-7.353535353535353813e+00,1.329528990901134966e+00,1.295209665400385957e+00,1.326711416244506836e+00,1.327088713645935059e+00,1.341595888137817383e+00,1.326567530632019043e+00
-7.191919191919192045e+00,1.326685091251570192e+00,1.290773995261908613e+00,1.323850512504577637e+00,1.324300289154052734e+00,1.339069366455078125e+00,1.323692083358764648e+00
-7.030303030303030276e+00,1.323705654302880674e+00,1.286139549831156526e+00,1.320866465568542480e+00,1.321392059326171875e+00,1.336416363716125488e+00,1.320670843124389648e+00
-6.868686868686868507e+00,1.320584926661042546e+00,1.281299115855294879e+00,1.317753076553344727e+00,1.318357586860656738e+00,1.333631277084350586e+00,1.317497134208679199e+00
-6.707070707070706739e+00,1.317316982239419287e+00,1.276245384186721177e+00,1.314503669738769531e+00,1.315190672874450684e+00,1.330708622932434082e+00,1.314163923263549805e+00
-6.545454545454544970e+00,1.313895724590256942e+00,1.270970966302432004e+00,1.311112403869628906e+00,1.311885118484497070e+00,1.327642440795898438e+00,1.310665369033813477e+00
-6.383838383838384090e+00,1.310314890225941831e+00,1.265468412857480907e+00,1.307573437690734863e+00,1.308433651924133301e+00,1.324427247047424316e+00,1.306993842124938965e+00
-6.222222222222222321e+00,1.306568053027050036e+00,1.259730234371889246e+00,1.303881168365478516e+00,1.304829359054565430e+00,1.321056127548217773e+00,1.303145647048950195e+00
-6.060606060606060552e+00,1.302648629838356387e+00,1.253748924142670029e+00,1.300029516220092773e+00,1.301065206527709961e+00,1.317523717880249023e+00,1.299113869667053223e+00
-5.898989898989898784e+00,1.298549887357542287e+00,1.247516983462628737e+00,1.296012997627258301e+00,1.297132849693298340e+00,1.313823223114013672e+00,1.294896841049194336e+00
-5.737373737373737015e+00,1.294264950424388383e+00,1.241026949215121800e+00,1.291824936866760254e+00,1.293024539947509766e+00,1.309948086738586426e+00,1.290491819381713867e+00
-5.575757575757576134e+00,1.289786811820467616e+00,1.234271423898773534e+00,1.287458062171936035e+00,1.288731336593627930e+00,1.305891513824462891e+00,1.285898566246032715e+00
-5.414141414141413478e+00,1.285108343690722021e+00,1.227243108118088788e+00,1.282904863357543945e+00,1.284244179725646973e+00,1.301646709442138672e+00,1.281121015548706055e+00
-5.252525252525252597e+00,1.280222310698533317e+00,1.219934835554806307e+00,1.278156518936157227e+00,1.279553771018981934e+00,1.297206640243530273e+00,1.276160240173339844e+00
-5.090909090909090828e+00,1.275121385024913456e+00,1.212339610410580359e+00,1.273203611373901367e+00,1.274649858474731445e+00,1.292563915252685547e+00,1.271022081375122070e+00
-4.929292929292929060e+00,1.269798163319913575e+00,1.204450647284108777e+00,1.268036007881164551e+00,1.269523024559020996e+00,1.287711739540100098e+00,1.265708327293395996e+00
-4.767676767676767291e+00,1.264245185710210828e+00,1.196261413415083519e+00,1.262642383575439453e+00,1.264162659645080566e+00,1.282642126083374023e+00,1.260217428207397461e+00
-4.606060606060605522e+00,1.258454956960735949e+00,1.187765673193408089e+00,1.257012367248535156e+00,1.258558869361877441e+00,1.277347922325134277e+00,1.254542708396911621e+00
-4.444444444444444642e+00,1.252419969880044448e+00,1.178957534795110895e+00,1.251134872436523438e+00,1.252701520919799805e+00,1.271821618080139160e+00,1.248670578002929688e+00
-4.282828282828281985e+00,1.246132731048601006e+00,1.169831498766483291e+00,1.244999766349792480e+00,1.246581315994262695e+00,1.266055345535278320e+00,1.242581248283386230e+00
-4.121212121212121104e+00,1.239585788936114152e+00,1.160382508335520368e+00,1.238598346710205078e+00,1.240189194679260254e+00,1.260041475296020508e+00,1.236249685287475586e+00
-3.959595959595959336e+00,1.232771764458249653e+00,1.150606001185132676e+00,1.231922864913940430e+00,1.233517408370971680e+00,1.253772139549255371e+00,1.229648828506469727e+00
-3.797979797979797567e+00,1.225683384004353060e+00,1.140497962376354035e+00,1.224968194961547852e+00,1.226559162139892578e+00,1.247239828109741211e+00,1.222752928733825684e+00
