x, true, terminal, branch, branch, bsde
-7.000000000000000000e+01,1.385741506077832863e+00,1.385383102358883178e+00,1.385484933853149414e+00,1.385099887847900391e+00,1.384549379348754883e+00
-6.858585858585858830e+01,1.385657566619691750e+00,1.385244789652282371e+00,1.385194540023803711e+00,1.384936332702636719e+00,1.384497046470642090e+00
-6.717171717171717660e+01,1.385560889726187739e+00,1.385085502606303809e+00,1.384886980056762695e+00,1.384775519371032715e+00,1.384444952011108398e+00
-6.575757575757575069e+01,1.385449544839503444e+00,1.384902066798514575e+00,1.384563207626342773e+00,1.384616613388061523e+00,1.384387969970703125e+00
-6.434343434343433898e+01,1.385321309543620316e+00,1.384690829393425027e+00,1.384223461151123047e+00,1.384458661079406738e+00,1.384319186210632324e+00
-6.292929292929292728e+01,1.385173625686013210e+00,1.384447587703679483e+00,1.383868455886840820e+00,1.384299516677856445e+00,1.384231209754943848e+00
-6.151515151515151558e+01,1.385003548982448818e+00,1.384167507299997046e+00,1.383498907089233398e+00,1.384138226509094238e+00,1.384114384651184082e+00
-6.010101010101010388e+01,1.384807691163124410e+00,1.383845028211819983e+00,1.383115291595458984e+00,1.383971691131591797e+00,1.383961319923400879e+00
-5.868686868686868507e+01,1.384582153590915299e+00,1.383473757580792274e+00,1.382717609405517578e+00,1.383797883987426758e+00,1.383763074874877930e+00
-5.727272727272727337e+01,1.384322451140674426e+00,1.383046346935226323e+00,1.382306218147277832e+00,1.383613467216491699e+00,1.383512735366821289e+00
-5.585858585858585457e+01,1.384023424971756899e+00,1.382554352047691948e+00,1.381881356239318848e+00,1.383414983749389648e+00,1.383204221725463867e+00
-5.444444444444444287e+01,1.383679142654065330e+00,1.381988073123276095e+00,1.381442070007324219e+00,1.383197307586669922e+00,1.382831454277038574e+00
-5.303030303030303116e+01,1.383282783921335302e+00,1.381336372848575245e+00,1.380987644195556641e+00,1.382955551147460938e+00,1.382388710975646973e+00
-5.161616161616161946e+01,1.382826510125514829e+00,1.380586469619792922e+00,1.380516290664672852e+00,1.382683515548706055e+00,1.381870031356811523e+00
-5.020202020202020066e+01,1.382301315255495489e+00,1.379723703074815955e+00,1.380025267601013184e+00,1.382373452186584473e+00,1.381269097328186035e+00
-4.878787878787878896e+01,1.381696856166702680e+00,1.378731268896666196e+00,1.379510521888732910e+00,1.382016777992248535e+00,1.380578637123107910e+00
-4.737373737373737015e+01,1.381001259451939189e+00,1.377589919758656301e+00,1.378966808319091797e+00,1.381603240966796875e+00,1.379790663719177246e+00
-4.595959595959595845e+01,1.380200902178813083e+00,1.376277629278270354e+00,1.378386378288269043e+00,1.381120562553405762e+00,1.378895521163940430e+00
-4.454545454545454675e+01,1.379280163539731374e+00,1.374769215981641590e+00,1.377759218215942383e+00,1.380554199218750000e+00,1.377882719039916992e+00
